Condition,Frequencies (Hz)
Rhabdomyosarcoma,"120, 270, 9330"
Rhesus Gravidarum,"312, 322, 536, 684"
Rheuma Special,"333, 376, 436, 595, 775, 952, 1744"
Rheuma,"436, 595, 775, 952"
Rheumatic Disease,"130, 230, 620, 950, 7500"
Rheumatic Fever,"130, 250, 620, 950, 7500"
Rheumatic Fever,"333, 376, 523, 768, 786, 952"
Rheumatica,"333, 376, 820"
Rheumatism,"262, 766, 776, 10000"
"Rheumatoid Arthritis,Joints","250, 262, 600, 625, 650, 727, 776, 787"
Rhinitis,"20, 120, 146, 465, 520, 522, 727, 750, 787, 802, 830, 880, 1500, 1550"
"Rhinopneumonitis,Respiratory","185, 367, 487, 820"
Rhinoscleroma,"80, 240, 630, 7820"
"Rhizopus Nigricans,Respiratory","132, 327, 659, 660, 775"
Rhodotorula,"833, 598, 778"
Rhodococcus,"124, 337, 432, 682, 720, 764, 835"
Rickets,"129, 521, 523, 549, 607, 632, 720, 726, 943, 1062, 1357, 2084"
Rickets Vitamin D and Sunlight,"880, 5000"
Rickets,"70, 460, 1560, 5950"
Rickettsia,"129, 300, 521, 523, 549, 607, 632, 720, 726, 943, 1062, 1357, 2085"
Rickettsia Infections,"130, 180, 830, 5250"
Rickettsia,"129, 632, 943, 1062"
Rift Valley Fever,"40, 120, 950"
"Ringworm,Skin","60, 76, 92, 120, 128, 422, 440, 442, 732, 800, 5000"
Rita Livingston,"636, 700, 832, 3734"
RNA Integrity Stimulate,637
RNA Virus Infections,"70, 880, 9710"
Roaches,100
Robinow Syndrome,"130, 910"
Rocky Mountain Spotted Fever,"70, 308, 375, 468, 520, 788, 862, 943, 7570"
Romberg Disease,"90, 320, 950, 3110"
Rosacea,"20, 520, 730, 830, 2500"
Rose,320
Rotifer,4500
RoundWorms,"240, 650, 688"
Royer Syndrome,"180, 410, 5670"
Rubella Vaccine,459
Rubella,"70, 240, 431, 459, 510, 517, 600, 727, 787, 880, 7220"
Rubeola Vaccine,962
Rubeola,"342, 467, 520, 784, 787, 962, 1489"
Rubinstein-Taybi Syndrome,"70, 150, 3500"
Ruko Tick,"285, 308, 6634"
Runny Nose (Rhinitis),"5, 189, 912"
Syndrome,"410, 730, 7870"
Sacroiliac Joint Dysfunction,"110, 240, 570"
Salivary Gland Diseases,"410, 730, 870, 7500"
Salivary Gland Virus,"126, 597, 1045, 2145"
Salmonella B,"546, 1634"
Salmonella Enteritidis,760
Salmonella Enteritidis Gut,"180, 570, 1850, 7500"
Salmonella Enteritidis,3600
Salmonella Infections,"180, 570, 1850, 7500"
Salmonella Paratyphi B,"59, 92, 165, 643, 707, 711, 717, 719, 752, 972, 1244, 6787, 7771"
Salmonella Paratyphi,3600
Salmonella Paratyphi,"180, 570, 776, 1850, 7500"
Salmonella Type B,"546, 1634"
Salmonella Typhi,"420, 660, 664, 690, 712, 714, 773, 802, 804, 824, 1550, 1770, 1800, 1862, 1865, 3205, 8656"
Salmonella Typhimurium,"693, 754, 762"
Salmonella Typhimurium,3600
Salmonella,1522
Salpingitis,"170, 550, 950"
Samter's Syndrome,"180, 570, 1000, 5250"
Sandhoff Disease,"170, 550, 950, 5150"
Sanguinera,634
Sanguis Menstrualis,591
Sarcocystis,3600
Sarcoidosis Pulmonary,"80, 350"
"Sarcoidosis,Lungs Lymph","2167, 2967, 3289"
Sarcoidosis,"70, 500"
Sarcoma,"2005, 2008"
Sarcoma Ewing's,"30, 250, 780, 930, 7500"
Sarcoma Osteogenic,"40, 240, 730, 7900"
Sarcoma,"10, 370, 870, 2250, 2500"
"Sars ,Respiratory","162, 563, 1556, 1559, 2286, 3735, 5235, 5513, 5613, 5763, 6157, 8015, 9563"
Sars,"563, 648, 1143"
"Scabies,Skin","90, 110, 253"
Scabies,"240, 700, 5500 ,7500"
Scarlet Fever,"110, 230, 437, 666, 690, 727, 787, 850, 880, 5150"
Scheuermann Disease,"50, 460, 900, 2500"
Schistosoma Haematobium,847
Schistosoma Mansoni,"329, 9889"
Schistosomiasis,"130, 230, 730, 850, 5250"
Schizencephaly,"190, 500, 570, 950"
"Schizophrenia Paranoid ,Mental","802, 1500, 1550"
Schizophrenia,"70, 500, 970, 9000"
Schnitzler Syndrome,"130, 230, 750, 850, 5690"
Schuman B Cell,"322, 425, 428, 561, 600, 620, 623, 780, 781, 950, 952, 1023, 1097, 1100, 1524"
"Sciatica ,Back","15, 254, 464, 465, 866"
Sciatica,"190, 500, 700, 970"
Sciatica Schias,"10, 666, 690, 727, 787, 802, 880, 1550"
Scimitar Syndrome,"80, 350, 5150"
Scleritis,"80, 350, 5190"
Scleroderma Systemic,"20, 320, 620, 950"
Scleroderma V,4334
"Sclerosis Lateral,Nerve",254
Scoliosis,"50, 240, 600, 5250"
Scotoma,"70, 730, 2500, 5810"
Scrub Typhus,"20, 320, 620, 970"
Seasonal Affective Disorder,"130, 220"
Security,90
Sedation and Pain Relief,"304, 6000"
"Seizures,Nerve","226, 329, 953"
Seizures,"460, 950"
Selenium,272
Self Respect,"5, 78, 621"
Self-assembly of Body,"9, 187, 948, 181"
Self-healing,10
Seminal Vesiculitis,"393, 433, 2712"
Semperillium,1140
Sepsis,"70, 220"
Septo-Optic Dysplasia,"220, 970, 7500"
Serotonin Syndrome,"70, 780, 1300"
Serotonin,"10, 80, 160"
Serum Schweinepest,"246, 465, 503, 604"
Sever's Disease/Calcaneal Apophysitis,"10, 40, 410, 730, 900"
Severe Acute Respiratory Syndrome,"60, 520"
Severe Combined Immunodeficiency,"70, 240"
Sex Polarity Balance,10000
Sexual Diseases,"20, 625, 660, 727, 800, 880, 1500, 1850"
Sexual Disorders General Set,"120, 560"
Sexual Dysfunction Men,"20, 72, 124, 465, 600, 625, 650, 666, 690, 727, 787, 802, 880, 2008, 2112, 2127"
Sexual Weakness,"20, 727, 880, 10000"
Sexuality,9
Sexually Transmitted Diseases Bacterial,"10, 40, 410"
Sezary Syndrome,"180, 300, 2330"
Shigella Infections General,3000
Shigella,"621, 762, 769, 770, 802, 832, 1550"
"Shingles,Viral","664, 787, 802, 880, 914, 1500, 1600, 2170, 3343"
Shock Hemorrhagic,"170, 350"
Shock Septic,"180, 220"
Shock,"170, 320, 950"
Short Bowel Syndrome,"180, 300"
Shoulder Injuries,"120, 5500"
Shy-Drager Syndrome,"70, 8000"
Sialorrhea,"240, 900, 9000"
Sick Building Syndrome,"20, 770, 2500, 3000"
Signal Test,50
Silicosis,"90, 7250"
"Sinus Bacteria,Respiratory",548
Sinusitis Frontalis,"320, 682, 952"
Sinusitis Maxillaris,"160, 741"
Situations Undo,417
Situs Inversus,"50, 120, 870, 5000"
Sjogren's Syndrome,"130, 400"
Skin Collagen Building,"190, 370, 7250"
Skin Diseases,"190, 370, 7250"
Skin Scar Tissue Healing,"190, 370, 7250"
Skin Ulcer,"50, 950, 7500, 8000"
Sleep Apnea Central,"70, 370"
Sleep Disorders,"130, 400, 620"
Sleep Restorative,"1, 2, 3"
Sleeping Sickness,"20, 120"
Slipped Discs,"20, 72, 95, 125, 727, 787, 880"
Slow Virus Diseases,"190, 370, 750"
Smallpox,"20, 334, 360, 471, 506, 647, 711, 727, 787, 880"
Smallpox,"142, 476, 511, 542, 569, 802, 832, 876, 1550, 1644, 2132, 2544, 3222"
Smallpox,"80, 350, 5500"
Smegma,"153, 180, 638"
"Smell, Sense Loss Of","20, 10000"
"Smell, Sense Too Sensitive","727, 787, 800, 880, 10000"
Smith-Lemli-Opitz Syndrome,"80, 350, 5500"
Smith-Magenis Syndrome,"950, 2250"
Sneddon Syndrome,"40, 350, 700"
Sneezing,"146, 465, 727, 787, 880"
Social Self,12
Solfeggio Frequencies,"396, 417, 528, 639, 741, 852"
Solitary Cyst,"75, 543"
Somatoform Disorders,"70, 570"
Sore Throat,"727, 766, 776, 787, 802, 875, 880, 885, 1550, 1600, 1800, 2489, 2720"
Sorghum Smut,294
Spanish Flu,462
Spasm,"60, 320, 600"
Spastic Paresis,48
Spermatic Cord Torsion,"70, 460, 830, 2500"
Sphaerotilus Natans,3600
Spherocytosis Hereditary,"190, 300, 870"
Spina Bifida Occulta,"180, 7500"
Spinal Cord Diseases,"180, 320, 950, 7500"
Spinal Dysraphism,"320, 800, 7500"
Spinal Muscular Atrophies of Childhood,"180, 320"
Spinal Osteophytosis,"100, 320"
Spinal Stenosis,"140, 320, 970, 7500"
Spine Problems,216
Spine Problems,"185, 196"
Spirillum Serpens,3600
Spiritual Order Return To,852
Spiritual Well-being Stimulate Balance,1565
Spiritual Wisdom,10
Spleen,20
Spleen,492
Spleen Enlarged,"20, 35, 465, 660, 690, 787, 802, 880, 1550, 1800, 2170, 2720, 3176, 10000"
"Spleen Enlarged,Spleen","35, 787, 3176"
"Spleen Secondary,Spleen","20, 465, 727, 802, 880, 1550, 1800, 2170, 2720, 10000"
Spleen,147
Splenic Diseases,"40, 350, 2500, 7250"
Splenic Rupture,"30, 570"
Spondylitis Ankylosing,"180, 190, 8000"
Spondylitis,28
Spondylolisthesis,"460, 680"
Sporobolomyces,753
Sporotrichum Pruinosum,"584, 598, 687, 715, 755"
Sprengel's Deformity,"140, 300, 950"
Squamous Cell Carcinoma,"480, 666, 760, 1800, 2008, 2125, 2128, 2131, 2140, 2145, 3672, 6130, 6601, 6672"
Stachybotrys Chartarum,"765, 844"
Stammering,"20, 6000, 10000"
Staph Infections,727
Staphylococcal Infections,"50, 410, 800, 5250"
Staphylococcus Aureus Basal Cell Special,"424, 670, 727, 786, 943, 1744, 2116, 2280, 8697"
Staphylococcus Aureus,"424, 644, 647, 727, 738, 745, 786, 943, 1050, 8697"
Staphylococcus Aureus,3600
Staphylococcus Coagulase Positive,643
Staphylococcus General,"48, 146, 160, 424, 727, 736, 786, 943"
Staphylococcus Virus,"563, 611, 727"
Stemphylium,"114, 340, 461"
Stephanurus Dentalus (Ova),3600
Stevens-Johnson Syndrome,"190, 7500, 8000"
Stickler Syndrome,"460, 2500"
Stiff Muscles Secondary,"1, 10, 250, 776, 787, 802, 880, 1550"
Stiff Muscles,"20, 40, 80, 125, 160, 240, 300, 304, 320, 328, 728, 776, 1800, 6000"
Stiff Neck,6
Stiff Shoulder,"20, 766, 727, 10000"
Stiff-Person Syndrome,"140, 950, 5750"
Stigeoclonium,3600
Stimulate Repair Nerve Damage,"2, 578, 657, 764, 5000, 10000"
Stomach Disorders,"20, 72, 95, 125, 422, 450, 664, 676, 690, 727, 784, 802, 832, 880, 1552, 2008, 2127"
Stomach,10
"Stomatitis,Mouth","234, 278, 465, 568, 672, 677, 702, 787"
Stomatognathic Diseases,"170, 370, 900, 2750, 5120"
Strabismus,"170, 570"
Streptococcal Infections,"150, 700, 2500, 5250"
Streptococcal Infections,"150, 700, 880, 2500, 5250"
"Streptococcus Enterococcinum,Indigestion","409, 686"
Streptococcus Lactis,3600
Streptococcus Mitis Abscesses Stiff Knees,3600
Streptococcus Pepto,"201, 629"
Streptococcus Pneumoniae,"231, 232, 728, 766, 776, 846, 8865"
Streptococcus Pneumoniae,3600
Streptococcus Pyogenes,3600
Streptococcus Species Group G,3600
Streptococcus Viridans,"445, 457, 465, 777, 778, 935, 1010, 1060, 1214, 1216, 8478"
Streptococcus Virus,"563, 611, 727"
Streptomyces Griseus,"333, 887"
Streptothrix,"20, 222, 228, 231, 237, 262, 465, 488, 567, 727, 747, 784, 787, 887, 2154, 2890, 7880, 10000"
Stress Disorders Post-Traumatic,"140, 680, 2500"
Stridor,"30, 460, 830"
Stroke,"3, 230"
Stroke Follow Up,"3, 20, 72, 95, 125, 203, 428, 522, 600, 625, 650, 727, 787, 880, 1800, 1865, 2112, 2720, 10000"
Stroke Recovery,2642
Stroke,"90, 120, 620"
Strongyloides (Filariform Larva),3600
Strongyloides,"332, 422, 721, 942, 3212"
Strongyloidiasis,"60, 250, 950"
Struma Cystica,5311
Struma Nodosa,"105, 122, 321, 517, 532, 651, 714"
Struma Parenchyma,121
Struma,"105, 121, 122, 321, 361, 517, 531, 532, 576, 651, 714, 756, 5311"
Sturge-Weber Syndrome,"400, 950"
Stuttering,"70, 530"
"Stye,Eyes","20, 453, 727, 787, 880, 2600, 10000"
Subacute Sclerosing Panencephalitis,"50, 1520, 5690"
Sudor Pedis,148
Sulfur si,176
Sun Allergy,"3, 330, 1000, 10000"
Sunstroke,"20, 95, 146, 190, 440, 444, 522, 880, 3000, 1000, 10000"
Surgery Anaesthesia Detox,"146, 522"
Surgical Pain Post Op,"95, 2720, 3000"
Suture Techniques,"160, 350, 2500"
Sweat Gland Diseases,"120, 400, 900"
Sweet Syndrome,"60, 8000"
Swelling Edema,"146, 148, 440, 444, 522, 727, 787, 880"
Swelling Legs and Feet,"20, 727, 787, 880, 5000, 10000"
Swelling,"20, 146, 148, 440, 444, 522, 727, 787, 880, 3000, 5000, 1000, 10000"
Swimmers Ear,"174, 464, 482, 728, 784, 880, 5311"
Swine Flu,"20, 413, 432, 450, 650, 663, 839, 995, 2210, 6150"
Swollen Glands,"152, 242, 642, 674, 922"
Synesthesia,"400, 950"
Synovitis,"50, 520, 620"
Syphilis Congenital,"20, 180"
Syphilis,"20, 177, 600, 625, 650, 658, 660, 5250"
Syringomyelia,"120, 5120, 7000"
Systemic Inflammatory Response Syndrome,"130, 430, 7000"
T-cell Leukemia,"222, 262, 822, 3042, 3734"
Tachycardia,"20, 520, 1200, 2250"
Taenia,"164, 187, 453, 542, 623, 803, 843, 854, 1223, 3032, 5522"
Taeniasis,"120, 650, 2500"
Takayasu Arteritis,"100, 350"
Tangier Disease,"140, 410, 8000"
Tapeworm,"522, 562, 843, 1223, 3032, 5522"
Tardive Dyskinesia,"60, 7000"
Tarlov Cysts,"80, 320, 650"
Taste Disorders,"160, 5500"
Taste Lack Of,"20, 10000"
Tay-Sachs Disease,"120, 200"
TB Aviare,532
TB Bovine,"523, 3353"
TB Klebsiella,"221, 1132, 1644, 2313, 6516"
Telangiectasia Hereditary Hemorrhagic,"100, 220"
Telangiectasis,"160, 2100"
Temporomandibular Joint Disorders,"160, 350"
Temporomandibular Joint Dysfunction Syndrome,"160, 550, 850, 5120"
Tendinopathy,300
"Tendomyopathy,Tendon","1, 10, 20, 40, 80, 160, 250, 320"
Tendonitis and Tibialis Posterior,"20, 120, 300, 727, 787, 880, 2008, 5000"
Tendons Repair,120
"Tennis Elbow,Elbow","26, 160, 250, 3040"
Tennis Elbow,"80, 7250"
Tenosynovitis,"110, 400"
Teratoma,"120, 900, 5250"
Test-taking Improve,398
Testicle Fluid,"727, 787, 880"
Testicular Diseases,"120, 400, 900, 5120"
Testosterone Female Normalize Level,1445
Testosterone Male Normalize Level,1444
Tetanus Antitoxin,"363, 458"
Tetanus Secondary,"727, 787, 880"
Tetanus,"20, 80, 120, 244, 320, 352, 363, 400, 458, 465, 554, 600, 628, 650, 880, 1142, 7500"
Tetragenus,"393, 433, 2712"
Tetrahydrobiopterin Deficiency,"120, 2500"
Thalamic Diseases,"20, 220"
Thalamus Stimulant,20
Thanatophoric Dysplasia,"160, 300, 570"
Thermi Bacteria,"233, 441"
Third Eye Opening,83
Thoracic Outlet Syndrome,"20, 400, 7250"
Threadworm,"422, 423, 732, 4412"
Throat and Lymph Nodes,"20, 146, 380, 440, 522, 660, 690, 760, 776, 784, 802, 880, 1550, 1600"
Throat,12
Thrombasthenia,"100, 520, 780, 5250"
Thromboangiitis Obliterans,"100, 580, 780, 5250"
Thrombocytopenia,"130, 400, 7250"
"Thrombophlebitis,Blood","685, 776, 1500"
Thrombophlebitis,"240, 780"
Thrombosis,"140, 490, 730, 950, 2500, 7500"
Thrush,"414, 465"
Thygeson's Superficial Punctate Keratitis,"100, 220"
Thymoma,"170, 520"
Thymus Gland Stimulant,"20, 727, 787, 880, 5000"
"Thymus Stimulation,Immune system",20
Thyroid Balance and Normalize,"20, 160, 537, 660, 690, 763, 1570, 10000"
Thyroid Disease,140
Thyroid Function Stimulate Normalize,763
Thyroid Gland Fever,"20, 160, 660, 690, 1570, 10000"
Thyroid Nodule,"140, 120, 650, 2500"
Thyroid Support,160
Thyroid,12
Thyroiditis,"140, 250, 600, 2500"
Tick Paralysis,"80, 520, 680, 970, 2500"
Tietze's Syndrome,"50, 240"
Tinea Cruris,"345, 465, 644, 766, 784"
"Tinea Versicolor,Skin","222, 225, 491, 616, 700"
Tinea Versicolor,"50, 410, 600, 850"
Tinea,"50, 410"
"Tinnitus,Ear","20, 728, 784, 880, 2720"
Tinnitus,"70, 240, 570"
Tissue Healing and Regeneration,"47, 266, 1360, 2128, 2720, 5000"
Tobacco Mosaic Virus,3600
Tobacco Mosaic,"233, 274, 543, 782, 1052"
Tonic-clonic Seizures Grand Mal,"50, 120, 220, 580, 1380, 5390"
Tonsillar NOS,1656
Tonsillar Pfropfen,"151, 246, 414"
"Tonsillitis,Tonsils","73, 144, 452, 465, 582, 600, 625, 650, 727, 776, 787, 802, 832, 880, 1500, 1550"
Tonsillitis,"250, 452, 870, 5120"
"Tooth Extraction Follow Up,Teeth","95, 2720, 3000"
Torticollis,"180, 300, 5500"
Torulopsis,"354, 522, 872, 2121"
Tourette Syndrome,"160, 230"
Toxin Elimination,"20, 146, 522, 727, 787, 800, 880, 1552, 10000"
Toxocariasis,"180, 240"
Toxoplasma Special,"434, 853"
Toxoplasmosis,"434, 852"
Toxoplasmosis,"170, 320"
Tracheal Stenosis,"70, 370, 8000"
Tracheoesophageal Fistula,"130, 400, 730, 5620, 7250"
"Trachoma,Eyes","430, 620, 624, 840, 866, 2213"
Trachoma,"190, 370, 780, 950, 2250, 5250"
Transformation,528
Trauma,"96, 192, 300, 760, 3000"
Tremor,"400, 600, 850, 5090, 7250"
Tremors Brain Tumors,"463, 466"
"Trench Mouth,Mouth","20, 465, 726, 728, 776, 787, 802, 880, 1550, 1556"
Treponema,6600
Treponema,"20, 600, 625, 626, 650, 660, 10000"
Treponema Pallidum,"120, 177, 600, 625, 650, 658, 660, 690, 700, 902, 1200"
Treponema Pallidum,3600
Trichinella Spiralis Muscle,3600
Trichinosis,"101, 230, 541, 822, 1054, 1372, 1800"
Trichinosis,"100, 520, 870, 2500"
Trichinosis,"541, 1372"
Trichoderma,711
Trichomonas Infections,"170, 620, 2750"
Trichomonas Vaginalis,3600
"Trichomonas,Vaginal","610, 692, 980"
Trichophyton General,"132, 725, 808, 812, 2422, 9493"
Trichophyton Mentagrophytes,"311, 414"
Trichophyton Rubrum,"752, 923"
Trichophyton Tonsurans,"454, 765"
Trichophyton,"132, 812, 2422, 9493"
Trichothiodystrophy Syndromes,"140, 490, 730, 950, 2500, 7500"
Trichotillomania,"240, 750, 950"
Trichuris Species Male,3600
Tricuspid Atresia,170
"Trigeminal Neuralgia,Face","146, 428, 650, 727, 760, 776, 787, 802, 832, 880, 1550, 1600, 1800, 2170, 2489, 2720"
Trigeminal Neuralgia,"20, 370"
Troglodytella Abrassari,3600
Trypanosoma Brucei,3600
Trypanosoma Cruzi (Brain Tissue),3600
Trypanosoma Equiperdum,3600
Trypanosoma Gambiense,"255, 316, 403, 700, 724"
Trypanosoma Gambiense,3600
Trypanosoma Lewisi,3600
Trypanosoma Rhodesiense,3600
Trypanosomiasis,"70, 230, 5620, 7000"
Tuberculinum,"332, 522, 664, 731, 737, 748, 761, 1085, 1099, 1700"
"Tuberculosis Aviare,Lung","303, 332, 342, 438, 440, 532, 3113, 697, 698, 720, 731, 741, 748, 770, 6515"
Tuberculosis Bovine,"523, 3353"
"Tuberculosis Bovine,Lung","229, 523, 625, 635, 748, 757, 838, 877, 3353"
Tuberculosis Klebsiella,"221, 1132, 1644, 2313, 6516"
"Tuberculosis Klebsiella,Lung","217, 220, 221, 686, 729, 748, 1132, 1644, 2313, 6516"
"Tuberculosis Rod E Coli Infections,Lung","799, 802, 804, 1513, 1550"
"Tuberculosis Rod Form,Lung","369, 541, 583, 802, 803, 1513, 8030"
"Tuberculosis Secondary Complications,Lung","465, 776, 2008, 2127"
Tuberculosis Spinal,"80, 400, 730, 900, 5110"
"Tuberculosis Virus Form,Lung","1552, 2565"
Tuberculosis,"20, 80, 400, 730, 900, 5110"
Tuberous Sclerosis,"80, 350, 5500"
Tularemia,"324, 427, 823"
Tularemia,"60, 320, 2250"
Tumor Any Kind,2127
Tumor Benign Papilloma Virus,"110, 148, 264, 634, 760, 762, 767, 848, 874, 907, 917, 1102"
Tumor Benign,"1, 10, 11"
Tumor Brain Astrocytoma,857
Tumor Breast,"727, 787, 880, 2008, 2127, 5000"
Tumor Virus Infections,"70, 350"
Turbatrix,104
Turner Syndrome,"70, 570, 730, 2500"
Tympanic Membrane Perforation,"60, 180, 780, 7500, 8000"
Typhoid Bacteria MOR,712
Typhoid Fever General,"20, 690, 770, 1570"
Typhoid Fever Rod,"345, 712, 6900"
Typhoid Fever,"130, 400, 690, 712, 714, 802, 824, 870, 1550, 1800, 1860, 1862, 1862, 1864, 1866, 1868, 3205"
Typhoid General,"690, 802, 1550, 1800"
Typhoid Rod,6900
Typhoid Virus,"1862, 1865"
Typhus Epidemic Louse-Borne,"370, 750"
Tyrosinemia,"50, 350, 680, 2500, 5500"
"Ulcer Duodenal,Stomach","676, 727, 750, 880, 10000"
"Ulcer Gastric,Stomach",676
Ulcer Ventricular,"232, 1000"
"Ulcer Ventricular,Stomach","142, 232, 566, 676, 760, 769, 1000"
Ulcers,"73, 664, 676, 727, 776, 784, 787, 802, 832, 880, 1600, 1800, 2127, 2170, 2489"
"Ulcers General,Stomach","73, 664, 676, 727, 776, 784, 787, 802, 802, 832, 880, 1600, 1800, 2127, 2170, 2489"
Ulnar Nerve Compression Syndrome,"70, 320, 600, 830, 2250"
Urea Cycle Disorders,"70, 460, 680, 930"
Ureaplasma,756
"Uremia,Kidney",911
Urethral Stricture,"140, 320, 950, 5250"
Urethritis,"70, 410, 730"
Urinary Bladder Diseases,"10, 550, 780, 970, 5090, 7250"
Urinary Retention,"490, 730, 800, 2500, 7500"
Urinary Tract Infections,"20, 358, 465, 539, 642, 727, 787, 802, 880, 1550, 2050"
Urinary Tract Infections,"490,730,800,7500"
Urination Disorders,"130, 240, 780, 900"
Urocleidus,3600
Urogenital Surgical Procedures,"70, 520, 780, 800"
Urogenital,"20, 460, 680, 970, 2500"
Urologic Diseases,"40, 520, 680, 830, 2500"
"Urticaria,Skin","146, 522, 727, 787, 880, 1800"
Urticaria,"70, 490, 600, 930, 2250, 5810"
Usher Syndrome,"10, 40, 240"
Uterine Cervical Dysplasia,"10, 40, 400, 680, 5090, 7500"
Uterine Cervical Incompetence,"10, 400, 680, 5090, 7500"
Uterine Inversion,"400, 680, 830, 5250, 7500"
Uterine Polyp,689
Uterine Prolapse,"100, 420, 930, 5250"
Uveitis,"70, 2500, 5500"
Uveomeningoencephalitic Syndrome,"150, 930, 5090"
Vaccininum,476
Vaginal Disease,"70, 120, 850, 5620"
"Vaginosis,Vaginal","414, 464, 542, 642, 652, 728, 784, 800, 832, 845, 866, 880, 942"
Valley Fever,"336, 337, 2400"
Vapch Grippe,"153, 343"
Varicella,"345, 668, 716, 738"
Varicella,"664, 787, 802, 880, 914, 1500, 1600, 2170, 3343"
Varicocele,"190, 570, 5910"
Varicose Veins,"180, 550, 850"
Varicosities,"20, 28, 33, 40, 72, 95, 148, 224, 685, 776, 1250, 1500, 1520"
Variola,"142, 476, 511, 542, 569, 802, 832, 876, 1550, 1644, 2132, 2544, 3222"
Variolinum,"542, 569, 832, 3222"
Vascular Diseases,"50, 240, 600"
Vasculitis,"80, 220, 730, 2500, 5810"
Vasospasm Intracranial,"190, 260, 570, 7500"
Vegetative Dystonia,40
Veillonella Dispar,3600
Vein Thrombosis,"685, 776, 1500"
Venous Insufficiency,"120, 650"
Ventricular Fibrillation,"140, 570, 7250"
Verruca,"644, 767, 953"
"Verruca,Skin","173, 644, 767, 787, 797, 827, 953"
"Vertigo,Ear","4, 60"
Vertigo,"50, 410, 7850"
Vertigo,100
Vesico-Ureteral Reflux,"190, 260, 570, 9000"
Vestibular Neuronitis,"30, 180, 650, 930, 5500"
Virus General,"344, 447, 564, 633, 834, 944, 3443, 6534, 7884"
Vision Disorders,"120, 650"
"Vision Poor,Eyes","350, 360, 900"
Vitality and Energy,9999
Vitamag Complete Set,"1, 2, 3, 4, 5, 6, 7, 9, 10, 13, 16, 24"
Vitamin A Deficiency,"2100, 9120"
Vitamin A Deficiency,"140, 570, 950"
Vitamin B12 Deficiency,"50, 6560"
Vitamin B12 Deficiency,"50, 410, 1000"
Vitamin C Deficiency,"2100, 5009"
Vitamin D Deficiency,"2890, 3740, 9920"
Vitamin D Deficiency,"170, 220, 620"
Vitamin Deficiency (Avitaminosis),"2400, 4420, 7360"
"Vitiligo,Skin","20, 440, 444, 600, 650, 727, 787, 880, 2112"
Vitiligo,"150, 260, 5250, 7000"
Vitreous Disorders,"140, 520, 2500"
Vocal Cord Paralysis,"80, 120"
Vocal Cords,12
Von Hippel-Lindau Disease,"30, 460, 2500, 7500"
Von Willebrand Disease,"20, 250, 7500"
Vulvar Diseases,"30, 5810"
Vulvar Lichen Sclerosus,30
Waardenburg's Syndrome,"40, 520, 5090"
Waldenstrom Macroglobulinemia,"80, 2750"
Wart Human Papilloma Plantar,3600
Wart Human Papilloma Virus,3600
Wart Papilloma Cervix Smear,3600
"Warts Condyloma,Skin","466, 907"
"Warts Papilloma Type Branch Or Stalk,Skin","466, 907"
"Warts Plantar,Skin","915, 918"
"Warts Verruca,Skin","173, 495, 644, 767, 787, 797, 877, 953"
Warts,"160, 350"
Well-being Sense of,"10, 90"
Werlhof,"690, 452"
Werner Syndrome,"20, 250, 970, 9000"
Wernicke Encephalopathy,"230, 950"
West Nile,"413, 465, 826, 841, 1239, 3303, 8410"
West Nile Fever,"40, 520, 750, 2500, 5070"
Wheat Smut,"156, 375"
Wheat Stem Rust,643
Whiplash Injuries,"120, 250, 730, 2500, 5620"
Whiplash,"20, 2720, 10000"
